Date,Close
2021-01-01,2534.897216796875
2021-01-04,2631.15966796875
2021-01-05,2677.515869140625
2021-01-06,2641.590576171875
2021-01-07,2625.40283203125
2021-01-08,2701.66845703125
2021-01-11,2749.75634765625
2021-01-12,2748.37158203125
2021-01-13,2734.60693359375
2021-01-14,2819.386474609375
2021-01-15,2804.33935546875
2021-01-18,2794.2783203125
2021-01-19,2828.060791015625
2021-01-20,2869.778564453125
2021-01-21,2839.465576171875
2021-01-22,2864.834716796875
2021-01-25,2854.6005859375
2021-01-27,2828.363525390625
2021-01-28,2772.422119140625
2021-01-29,2698.526611328125
2021-02-01,2722.81201171875
2021-02-02,2778.406494140625
2021-02-03,2775.4580078125
2021-02-04,2765.39697265625
2021-02-05,2738.94384765625
2021-02-08,2787.64404296875
2021-02-09,2755.37939453125
2021-02-10,2786.94970703125
2021-02-11,2780.618408203125
2021-02-12,2767.434814453125
2021-02-15,2723.24560546875
2021-02-16,2696.3154296875
2021-02-17,2665.3515625
2021-02-18,2651.69140625
2021-02-19,2664.267822265625
2021-02-22,2565.913330078125
2021-02-23,2584.77783203125
2021-02-24,2556.9375
2021-02-25,2597.874755859375
2021-02-26,2510.275634765625
2021-03-01,2536.2080078125
2021-03-02,2607.45849609375
2021-03-03,2653.2099609375
2021-03-04,2645.056396484375
2021-03-05,2608.932861328125
2021-03-08,2607.978515625
2021-03-09,2646.14013671875
2021-03-10,2663.487060546875
2021-03-12,2652.2119140625
2021-03-15,2659.323486328125
2021-03-16,2697.399169921875
2021-03-17,2699.914306640625
2021-03-18,2633.608154296875
2021-03-19,2645.49072265625
2021-03-22,2714.398193359375
2021-03-23,2725.63037109375
2021-03-24,2706.982666015625
2021-03-25,2658.196533203125
2021-03-26,2659.887451171875
2021-03-30,2739.4638671875
2021-03-31,2756.203369140625
2021-04-01,2745.057861328125
2021-04-05,2809.15283203125
2021-04-06,2831.52978515625
2021-04-07,2837.3408203125
2021-04-08,2877.194091796875
2021-04-09,2881.444091796875
2021-04-12,2815.787841796875
2021-04-13,2692.195068359375
2021-04-15,2791.850341796875
2021-04-16,2771.207763671875
2021-04-19,2742.282958984375
2021-04-20,2727.32177734375
2021-04-22,2704.988037109375
2021-04-23,2696.922119140625
2021-04-26,2689.376708984375
2021-04-27,2716.4365234375
2021-04-28,2709.585205078125
2021-04-29,2701.9091796875
2021-04-30,2632.8701171875
2021-05-03,2634.041259765625
2021-05-04,2645.100341796875
2021-05-05,2684.953125
2021-05-06,2698.6123046875
2021-05-07,2717.217041015625
2021-05-10,2728.1455078125
2021-05-11,2708.283935546875
2021-05-12,2677.927734375
2021-05-14,2646.617431640625
2021-05-17,2662.446044921875
2021-05-18,2678.96875
2021-05-19,2673.0712890625
2021-05-20,2653.990478515625
2021-05-21,2671.77001953125
2021-05-24,2672.63671875
2021-05-25,2714.036376953125
2021-05-26,2752.820068359375
2021-05-27,2771.55908203125
2021-05-28,2739.834716796875
2021-05-31,2753.38720703125
2021-06-01,2748.027587890625
2021-06-02,2727.501953125
2021-06-03,2737.785888671875
2021-06-04,2739.964599609375
2021-06-07,2774.347900390625
2021-06-08,2789.12060546875
2021-06-09,2789.2080078125
2021-06-10,2803.632568359375
2021-06-11,2853.31103515625
2021-06-14,2855.533935546875
2021-06-15,2843.680419921875
2021-06-16,2853.790771484375
2021-06-17,2891.6162109375
2021-06-18,2873.79296875
2021-06-21,2852.701416015625
2021-06-22,2877.1923828125
2021-06-23,2842.50439453125
2021-06-24,2940.29248046875
2021-06-25,2946.56787109375
2021-06-28,2908.17626953125
2021-06-29,2911.74951171875
2021-06-30,2916.02001953125
2021-07-01,2912.31591796875
2021-07-02,2898.32763671875
2021-07-05,2894.44873046875
2021-07-06,2843.28857421875
2021-07-07,2854.3134765625
2021-07-08,2839.976318359375
2021-07-09,2796.093505859375
2021-07-12,2782.97607421875
2021-07-13,2778.1396484375
2021-07-14,2801.671630859375
2021-07-15,2797.6533203125
2021-07-16,2790.534912109375
2021-07-19,2781.625
2021-07-20,2800.14306640625
2021-07-22,2809.357421875
2021-07-23,2806.30126953125
2021-07-26,2792.9365234375
2021-07-27,2780.184326171875
2021-07-28,2793.155517578125
2021-07-29,2791.408447265625
2021-07-30,2766.6455078125
2021-08-02,2812.022216796875
2021-08-03,2869.233642578125
2021-08-04,2859.6689453125
2021-08-05,2868.403564453125
2021-08-06,2890.9833984375
2021-08-09,2902.25048828125
2021-08-10,2912.033203125
2021-08-11,2921.030029296875
2021-08-12,2927.62451171875
2021-08-13,3025.146240234375
2021-08-16,3033.488525390625
2021-08-17,3103.4521484375
2021-08-18,3110.003173828125
2021-08-20,3109.086181640625
2021-08-23,3177.128662109375
2021-08-24,3155.9912109375
2021-08-25,3195.99560546875
2021-08-26,3207.2197265625
2021-08-27,3249.407958984375
2021-08-30,3232.943115234375
2021-08-31,3307.31787109375
2021-09-01,3244.86572265625
2021-09-02,3351.253662109375
2021-09-03,3355.8828125
2021-09-06,3364.573974609375
2021-09-07,3333.0419921875
2021-09-08,3296.574951171875
2021-09-09,3311.6416015625
2021-09-13,3358.76513671875
2021-09-14,3394.183349609375
2021-09-15,3454.14697265625
2021-09-16,3409.38232421875
2021-09-17,3343.47998046875
2021-09-20,3339.68017578125
2021-09-21,3374.13818359375
2021-09-22,3373.439208984375
2021-09-23,3379.64111328125
2021-09-24,3381.431640625
2021-09-27,3351.4287109375
2021-09-28,3300.942138671875
2021-09-29,3312.07861328125
2021-09-30,3297.797607421875
2021-10-01,3258.186279296875
2021-10-04,3295.83251953125
2021-10-05,3348.240478515625
2021-10-06,3328.67431640625
2021-10-07,3400.298583984375
2021-10-08,3437.638427734375
2021-10-11,3219.22998046875
2021-10-12,3190.623291015625
2021-10-13,3192.677001953125
2021-10-14,3160.515625
2021-10-18,3191.757568359375
2021-10-19,3180.381591796875
2021-10-20,3158.239990234375
2021-10-21,3091.423095703125
2021-10-22,3061.974853515625
2021-10-25,3056.811767578125
